problem,m,iterations,runtime,grad_norm,converged,exit_code
rosenbrock_20d,5,133,0.014834880828857422,1.1807545345916715e-05,True,Convergence
rosenbrock_20d,6,130,0.015149116516113281,1.4898287449231625e-05,True,Convergence
rosenbrock_20d,7,126,0.01620030403137207,5.1321074965403e-05,True,Convergence
rosenbrock_20d,8,124,0.016870737075805664,3.027329267815023e-05,True,Convergence
rosenbrock_20d,9,124,0.01758289337158203,1.9558142429242074e-05,True,Convergence
rosenbrock_20d,10,121,0.01632857322692871,1.514942540800171e-05,True,Convergence
rosenbrock_20d,11,118,0.016439199447631836,1.2058183368554277e-05,True,Convergence
rosenbrock_20d,12,118,0.01694321632385254,1.9830844138937893e-05,True,Convergence
rosenbrock_20d,13,119,0.018007278442382812,9.719715806878944e-06,True,Convergence
rosenbrock_20d,14,119,0.01753377914428711,1.2559049733017283e-05,True,Convergence
rosenbrock_20d,15,118,0.01898360252380371,3.9031033383208076e-05,True,Convergence
rosenbrock_20d,16,115,0.01794719696044922,3.6397757983467696e-05,True,Convergence
rosenbrock_20d,17,115,0.01873636245727539,6.623406499567006e-06,True,Convergence
rosenbrock_20d,18,116,0.020132064819335938,4.311424610226735e-06,True,Convergence
rosenbrock_20d,19,116,0.019326448440551758,1.8733870970887723e-05,True,Convergence
rosenbrock_20d,20,114,0.019489526748657227,1.073831094829342e-05,True,Convergence
rosenbrock_20d,21,113,0.019814014434814453,1.1534887512069489e-05,True,Convergence
rosenbrock_20d,22,116,0.020619630813598633,1.2260701346649032e-05,True,Convergence
rosenbrock_20d,23,110,0.020043134689331055,6.730805931006978e-06,True,Convergence
rosenbrock_20d,24,112,0.02148151397705078,1.79269516473945e-05,True,Convergence
rosenbrock_20d,25,113,0.02156519889831543,4.634537848731849e-06,True,Convergence
powell_singular,1,162,0.005873441696166992,7.078276544251999e-06,True,Convergence
powell_singular,2,104,0.0038428306579589844,2.4252023056780917e-06,True,Convergence
powell_singular,3,86,0.0034742355346679688,5.053854138804896e-06,True,Convergence
powell_singular,4,44,0.0020301342010498047,2.753881936976808e-06,True,Convergence
powell_singular,5,39,0.0018038749694824219,4.6004415403369585e-06,True,Convergence
powell_singular,6,37,0.001829385757446289,1.2568392377393925e-06,True,Convergence
powell_singular,7,42,0.00225067138671875,3.0703513546112273e-07,True,Convergence
powell_singular,8,39,0.0022602081298828125,2.923688843937281e-06,True,Convergence
powell_singular,9,42,0.0025742053985595703,5.452214829905954e-07,True,Convergence
powell_singular,10,37,0.002318859100341797,3.2941787748894185e-07,True,Convergence
powell_singular,11,48,0.0032203197479248047,3.693867387884652e-07,True,Convergence
powell_singular,12,44,0.003070354461669922,9.820408084095656e-06,True,Convergence
powell_singular,13,43,0.0031325817108154297,8.494975470101681e-07,True,Convergence
